Date,Web Traffic
2015-07-01,18
2015-07-02,11
2015-07-03,5
2015-07-04,13
2015-07-05,14
2015-07-06,9
2015-07-07,9
2015-07-08,22
2015-07-09,26
2015-07-10,24
2015-07-11,19
2015-07-12,10
2015-07-13,14
2015-07-14,15
2015-07-15,8
2015-07-16,16
2015-07-17,8
2015-07-18,8
2015-07-19,16
2015-07-20,7
2015-07-21,11
2015-07-22,10
2015-07-23,20
2015-07-24,18
2015-07-25,15
2015-07-26,14
2015-07-27,49
2015-07-28,10
2015-07-29,16
2015-07-30,18
2015-07-31,8
2015-08-01,5
2015-08-02,9
2015-08-03,7
2015-08-04,13
2015-08-05,9
2015-08-06,7
2015-08-07,4
2015-08-08,11
2015-08-09,10
2015-08-10,5
2015-08-11,9
2015-08-12,9
2015-08-13,9
2015-08-14,9
2015-08-15,13
2015-08-16,4
2015-08-17,15
2015-08-18,25
2015-08-19,9
2015-08-20,5
2015-08-21,6
2015-08-22,20
2015-08-23,3
2015-08-24,14
2015-08-25,46
2015-08-26,5
2015-08-27,5
2015-08-28,13
2015-08-29,4
2015-08-30,9
2015-08-31,10
2015-09-01,9
2015-09-02,11
2015-09-03,11
2015-09-04,11
2015-09-05,9
2015-09-06,15
2015-09-07,5
2015-09-08,10
2015-09-09,7
2015-09-10,4
2015-09-11,8
2015-09-12,9
2015-09-13,10
2015-09-14,6
2015-09-15,13
2015-09-16,16
2015-09-17,6
2015-09-18,24
2015-09-19,9
2015-09-20,11
2015-09-21,12
2015-09-22,8
2015-09-23,14
2015-09-24,6
2015-09-25,6
2015-09-26,11
2015-09-27,14
2015-09-28,6
2015-09-29,10
2015-09-30,20
2015-10-01,7
2015-10-02,15
2015-10-03,8
2015-10-04,15
2015-10-05,5
2015-10-06,8
2015-10-07,8
2015-10-08,5
2015-10-09,11
2015-10-10,165
2015-10-11,34
2015-10-12,6
2015-10-13,13
2015-10-14,8
2015-10-15,9
2015-10-16,11
2015-10-17,26
2015-10-18,18
2015-10-19,3
2015-10-20,5
2015-10-21,12
2015-10-22,6
2015-10-23,16
2015-10-24,19
2015-10-25,9
2015-10-26,10
2015-10-27,11
2015-10-28,11
2015-10-29,7
2015-10-30,9
2015-10-31,10
2015-11-01,24
2015-11-02,6
2015-11-03,6
2015-11-04,8
2015-11-05,16
2015-11-06,13
2015-11-07,10
2015-11-08,10
2015-11-09,6
2015-11-10,5
2015-11-11,20
2015-11-12,6
2015-11-13,47
2015-11-14,9
2015-11-15,9
2015-11-16,12
2015-11-17,11
2015-11-18,17
2015-11-19,15
2015-11-20,14
2015-11-21,11
2015-11-22,97
2015-11-23,11
2015-11-24,12
2015-11-25,11
2015-11-26,14
2015-11-27,15
2015-11-28,12
2015-11-29,104
2015-11-30,5
2015-12-01,22
2015-12-02,45
2015-12-03,75
2015-12-04,29
2015-12-05,34
2015-12-06,20
2015-12-07,12
2015-12-08,25
2015-12-09,9
2015-12-10,62
2015-12-11,20
2015-12-12,19
2015-12-13,8
2015-12-14,23
2015-12-15,13
2015-12-16,16
2015-12-17,34
2015-12-18,36
2015-12-19,11
2015-12-20,18
2015-12-21,12
2015-12-22,24
2015-12-23,30
2015-12-24,27
2015-12-25,44
2015-12-26,35
2015-12-27,53
2015-12-28,11
2015-12-29,26
2015-12-30,13
2015-12-31,18
2016-01-01,9
2016-01-02,16
2016-01-03,6
2016-01-04,19
2016-01-05,20
2016-01-06,19
2016-01-07,22
2016-01-08,30
2016-01-09,14
2016-01-10,16
2016-01-11,22
2016-01-12,15
2016-01-13,15
2016-01-14,26
2016-01-15,16
2016-01-16,13
2016-01-17,27
2016-01-18,18
2016-01-19,13
2016-01-20,32
2016-01-21,31
2016-01-22,16
2016-01-23,38
2016-01-24,18
2016-01-25,9
2016-01-26,14
2016-01-27,10
2016-01-28,24
2016-01-29,8
2016-01-30,15
2016-01-31,18
2016-02-01,10
2016-02-02,23
2016-02-03,17
2016-02-04,11
2016-02-05,26
2016-02-06,14
2016-02-07,8
2016-02-08,12
2016-02-09,9
2016-02-10,11
2016-02-11,34
2016-02-12,17
2016-02-13,29
2016-02-14,11
2016-02-15,9
2016-02-16,14
2016-02-17,21
2016-02-18,12
2016-02-19,11
2016-02-20,13
2016-02-21,11
2016-02-22,13
2016-02-23,16
2016-02-24,13
2016-02-25,19
2016-02-26,21
2016-02-27,14
2016-02-28,11
2016-02-29,35
2016-03-01,18
2016-03-02,42
2016-03-03,15
2016-03-04,5
2016-03-05,21
2016-03-06,56
2016-03-07,9
2016-03-08,20
2016-03-09,17
2016-03-10,18
2016-03-11,8
2016-03-12,9
2016-03-13,17
2016-03-14,9
2016-03-15,10
2016-03-16,14
2016-03-17,17
2016-03-18,6
2016-03-19,18
2016-03-20,13
2016-03-21,11
2016-03-22,12
2016-03-23,11
2016-03-24,8
2016-03-25,15
2016-03-26,11
2016-03-27,20
2016-03-28,59
2016-03-29,11
2016-03-30,18
2016-03-31,17
2016-04-01,12
2016-04-02,14
2016-04-03,13
2016-04-04,9
2016-04-05,490
2016-04-06,189
2016-04-07,102
2016-04-08,38
2016-04-09,126
2016-04-10,71
2016-04-11,21
2016-04-12,57
2016-04-13,79
2016-04-14,17
2016-04-15,17
2016-04-16,23
2016-04-17,16
2016-04-18,23
2016-04-19,18
2016-04-20,22
2016-04-21,44
2016-04-22,6
2016-04-23,31
2016-04-24,17
2016-04-25,25
2016-04-26,40
2016-04-27,19
2016-04-28,15
2016-04-29,15
2016-04-30,29
2016-05-01,18
2016-05-02,16
2016-05-03,13
2016-05-04,20
2016-05-05,22
2016-05-06,19
2016-05-07,11
2016-05-08,50
2016-05-09,22
2016-05-10,39
2016-05-11,23
2016-05-12,21
2016-05-13,23
2016-05-14,22
2016-05-15,16
2016-05-16,19
2016-05-17,35
2016-05-18,16
2016-05-19,12
2016-05-20,15
2016-05-21,13
2016-05-22,14
2016-05-23,10
2016-05-24,21
2016-05-25,20
2016-05-26,19
2016-05-27,14
2016-05-28,12
2016-05-29,15
2016-05-30,17
2016-05-31,16
2016-06-01,21
2016-06-02,27
2016-06-03,13
2016-06-04,11
2016-06-05,15
2016-06-06,14
2016-06-07,18
2016-06-08,18
2016-06-09,10
2016-06-10,11
2016-06-11,14
2016-06-12,18
2016-06-13,14
2016-06-14,13
2016-06-15,17
2016-06-16,15
2016-06-17,14
2016-06-18,234
2016-06-19,8
2016-06-20,62
2016-06-21,26
2016-06-22,22
2016-06-23,8
2016-06-24,22
2016-06-25,15
2016-06-26,69
2016-06-27,11
2016-06-28,18
2016-06-29,23
2016-06-30,12
2016-07-01,20
2016-07-02,17
2016-07-03,15
2016-07-04,16
2016-07-05,18
2016-07-06,21
2016-07-07,15
2016-07-08,30
2016-07-09,115
2016-07-10,56
2016-07-11,45
2016-07-12,17
2016-07-13,18
2016-07-14,15
2016-07-15,18
2016-07-16,14
2016-07-17,15
2016-07-18,15
2016-07-19,24
2016-07-20,22
2016-07-21,18
2016-07-22,30
2016-07-23,12
2016-07-24,13
2016-07-25,18
2016-07-26,17
2016-07-27,31
2016-07-28,26
2016-07-29,29
2016-07-30,12
2016-07-31,19
2016-08-01,19
2016-08-02,57
2016-08-03,17
2016-08-04,20
2016-08-05,49
2016-08-06,10
2016-08-07,19
2016-08-08,26
2016-08-09,41
2016-08-10,23
2016-08-11,30
2016-08-12,55
2016-08-13,17
2016-08-14,24
2016-08-15,14
2016-08-16,12
2016-08-17,49
2016-08-18,42
2016-08-19,37
2016-08-20,13
2016-08-21,30
2016-08-22,20
2016-08-23,33
2016-08-24,20
2016-08-25,14
2016-08-26,40
2016-08-27,15
2016-08-28,18
2016-08-29,26
2016-08-30,8
2016-08-31,25
2016-09-01,21
2016-09-02,20
2016-09-03,25
2016-09-04,19
2016-09-05,23
2016-09-06,18
2016-09-07,19
2016-09-08,18
2016-09-09,55
2016-09-10,16
2016-09-11,65
2016-09-12,11
2016-09-13,11
2016-09-14,13
2016-09-15,20
2016-09-16,21
2016-09-17,13
2016-09-18,24
2016-09-19,20
2016-09-20,13
2016-09-21,32
2016-09-22,16
2016-09-23,10
2016-09-24,13
2016-09-25,44
2016-09-26,17
2016-09-27,13
2016-09-28,72
2016-09-29,40
2016-09-30,19
2016-10-01,14
2016-10-02,13
2016-10-03,12
2016-10-04,14
2016-10-05,10
2016-10-06,26
2016-10-07,13
2016-10-08,22
2016-10-09,14
2016-10-10,23
2016-10-11,12
2016-10-12,8
2016-10-13,50
2016-10-14,13
2016-10-15,10
2016-10-16,16
2016-10-17,14
2016-10-18,10
2016-10-19,24
2016-10-20,10
2016-10-21,20
2016-10-22,10
2016-10-23,26
2016-10-24,25
2016-10-25,16
2016-10-26,19
2016-10-27,20
2016-10-28,12
2016-10-29,19
2016-10-30,50
2016-10-31,16
2016-11-01,30
2016-11-02,18
2016-11-03,25
2016-11-04,14
2016-11-05,20
2016-11-06,8
2016-11-07,67
2016-11-08,13
2016-11-09,41
2016-11-10,10
2016-11-11,21
2016-11-12,13
2016-11-13,8
2016-11-14,15
2016-11-15,14
2016-11-16,12
2016-11-17,6
2016-11-18,11
2016-11-19,10
2016-11-20,42
2016-11-21,21
2016-11-22,24
2016-11-23,14
2016-11-24,11
2016-11-25,204
2016-11-26,14
2016-11-27,45
2016-11-28,33
2016-11-29,28
2016-11-30,18
2016-12-01,14
2016-12-02,47
2016-12-03,15
2016-12-04,14
2016-12-05,18
2016-12-06,20
2016-12-07,14
2016-12-08,16
2016-12-09,14
2016-12-10,20
2016-12-11,60
2016-12-12,22
2016-12-13,15
2016-12-14,17
2016-12-15,19
2016-12-16,18
2016-12-17,21
2016-12-18,21
2016-12-19,47
2016-12-20,65
2016-12-21,17
2016-12-22,32
2016-12-23,63
2016-12-24,15
2016-12-25,26
2016-12-26,14
2016-12-27,20
2016-12-28,22
2016-12-29,19
2016-12-30,18
2016-12-31,20
